Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
85,59,64,elpais.com,268,184.27.179.6,us,2014-11-17,2018-11-21
85,59,59,livedoor.jp,13,203.104.130.159,jp,2017-01-15,2018-11-17
85,57,60,spiegel.de,126,128.65.210.185,de,2015-02-04,2018-11-21
85,62,66,skype.com,2,148.62.5.166,us,2017-06-23,2018-11-15
85,65,68,debian.org,44,5.153.231.13,gb,2016-09-30,2018-11-21
85,59,61,blogspot.fr,6,172.217.7.225,us,2017-09-29,2018-10-30
85,61,67,ft.com,4,151.101.202.109,us,2017-05-04,2018-11-19
85,67,66,joomla.org,196,72.29.124.158,us,2017-01-18,2018-11-21
85,61,59,alibaba.com,3,198.11.132.198,us,2018-05-23,2018-10-23
85,60,66,foursquare.com,5,151.101.34.49,us,2018-05-24,2018-11-20
85,63,66,naver.com,68,117.52.137.136,kr,2017-11-24,2018-11-21
85,61,66,cbc.ca,196,23.195.229.35,us,2014-11-26,2018-11-21
85,82,83,zendesk.com,37,54.85.108.241,us,2017-04-27,2018-11-21
85,63,70,prnewswire.com,169,23.195.229.225,us,2016-08-26,2018-11-22
85,55,53,china.com.cn,1,139.209.89.125,cn,2018-10-17,2018-11-15
85,76,76,cpanel.com,4,208.74.121.58,us,2017-07-10,2018-11-17
85,66,72,techcrunch.com,1139,192.0.66.2,us,2018-03-16,2018-11-22
85,61,63,blogspot.in,26,172.217.7.193,us,2017-09-27,2018-10-21
85,61,67,webmd.com,19,104.17.117.156,us,2018-05-22,2018-11-21
85,58,64,storify.com,12,54.192.194.151,us,2016-04-01,2018-10-20
85,59,65,quora.com,2,151.101.201.2,us,2018-11-01,2018-11-16
85,57,58,blog.fc2.com,290,104.244.98.62,us,2017-01-11,2018-11-22
85,60,59,blogspot.com.br,7,74.125.141.132,us,2017-10-02,2018-10-19
85,62,65,houzz.com,2,151.101.200.93,us,2017-06-16,2018-11-19
85,61,68,cornell.edu,26,128.253.49.34,us,2017-06-12,2018-11-20
85,59,65,indiatimes.com,14,23.212.156.248,us,2017-01-21,2018-11-20
85,58,66,nbcnews.com,121,104.91.40.188,us,2014-11-27,2018-11-21
85,60,66,ow.ly,50,54.67.57.56,us,2016-04-10,2018-11-21
85,58,62,blogspot.ca,6,172.217.15.97,us,2017-10-03,2018-10-31
85,61,69,steampowered.com,159,104.91.74.160,us,2016-04-10,2018-11-21
85,69,75,wpengine.com,21,35.196.225.187,us,2017-05-25,2018-11-20
84,53,59,co.ke,3003,99.198.97.170,us,2018-09-25,2018-11-22
84,54,56,biglobe.ne.jp,21,49.129.255.110,jp,2018-01-17,2018-11-20
