Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
86,66,71,www.gov.uk,2,151.101.200.144,us,2017-04-05,2018-11-11
86,70,67,bund.de,2,85.220.144.5,de,2017-02-11,2018-09-08
86,65,68,behance.net,232,151.101.193.197,us,2016-10-02,2018-11-21
86,68,75,constantcontact.com,1118,23.15.7.139,us,2013-06-25,2018-11-21
86,58,64,change.org,26,104.16.4.13,us,2016-04-10,2018-11-21
86,80,86,doubleclick.net,1,74.125.141.148,us,2018-09-08,2018-11-02
86,63,66,uol.com.br,3694,200.98.2.94,br,2016-09-04,2018-11-22
86,64,70,springer.com,18,151.101.200.95,us,2016-10-08,2018-11-21
86,61,68,foxnews.com,183,23.46.56.115,us,2015-03-01,2018-11-21
86,60,62,blogspot.de,30,172.217.8.1,us,2017-08-30,2018-10-23
86,57,58,altervista.org,223058,104.18.51.180,us,2017-04-12,2018-11-22
86,63,70,cbsnews.com,230,23.13.162.20,us,2016-04-07,2018-11-22
86,63,60,sakura.ne.jp,3487,112.78.112.109,jp,2016-08-14,2018-11-22
86,67,73,surveymonkey.com,4,64.191.16.50,us,2018-03-24,2018-10-29
86,57,61,ning.com,741,208.82.16.68,us,2017-04-03,2018-11-22
86,67,72,oracle.com,6,23.38.230.138,us,2017-04-30,2018-11-18
86,63,69,bbc.com,179,151.101.248.81,us,2013-06-19,2018-11-21
86,65,71,time.com,561,192.0.79.32,us,2015-02-03,2018-11-22
86,63,64,rakuten.co.jp,5,133.237.16.130,jp,2018-06-09,2018-11-03
86,60,67,nature.com,76,192.129.25.61,de,2013-09-09,2018-11-21
86,60,67,noaa.gov,4,192.111.123.140,us,2018-08-29,2018-11-21
86,64,70,meetup.com,148,151.101.34.110,us,2017-04-19,2018-11-21
86,66,63,google.nl,3,173.194.210.100,us,2018-10-17,2018-11-12
86,65,71,cnet.com,3766,23.60.165.31,us,2016-08-12,2018-11-22
86,69,74,wired.com,2687,151.101.193.63,us,2015-02-02,2018-11-22
86,60,67,loc.gov,34,104.16.54.16,us,2017-01-23,2018-11-22
85,63,69,theatlantic.com,1745,192.33.31.82,us,2016-09-15,2018-11-22
85,68,73,stackoverflow.com,124,198.252.206.29,us,2017-02-22,2018-11-21
85,59,64,elpais.com,799,23.48.209.57,us,2013-07-06,2018-11-22
85,59,59,livedoor.jp,45,125.6.190.6,jp,2016-12-29,2018-11-21
85,61,67,google.ru,4,74.125.31.102,us,2018-10-27,2018-11-21
85,57,60,spiegel.de,226,128.65.210.185,de,2013-08-04,2018-11-21
85,62,66,skype.com,28,148.62.5.166,us,2017-04-22,2018-11-21
85,65,68,debian.org,763,82.195.75.112,de,2016-10-24,2018-11-22
85,59,61,blogspot.fr,18,216.58.217.129,us,2017-09-13,2018-11-10
85,61,67,ft.com,27,255.255.255.255,,2017-01-24,2018-11-21
85,67,66,joomla.org,21,72.29.124.152,us,2013-06-12,2018-11-21
85,61,59,alibaba.com,4,205.204.101.142,us,2018-06-03,2018-11-09
